Signature,NamePKO,Country,Year,mandate_renewal,mandate_completeadjustment,date,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
"S/RES/1794","MONUC","Dem. Rep. of the Congo",2007,1,0,21dec2007,"Mandated in previous resolution in S/RES/1756 paragraph(s) 2n","Mandated in previous resolution in S/RES/1756 paragraph(s) 2l, 2m, 2n, 11","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2n","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2k, 2n, 11","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2h","","","","","","","","","Mandated in current resolution in S/RES/1794 paragraph(s) 2, 8","","Mandated in current resolution in S/RES/1794 paragraph(s) 16","Mandated in current resolution in S/RES/1794 paragraph(s) 16","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2l, 2n, 2o, 3c","","","","Mandated in current resolution in S/RES/1794 paragraph(s) 18","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2p, 2r","","","","Mandated in current resolution in S/RES/1794 paragraph(s) 18","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2f","","","","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2q","","","","Mandated in current resolution in S/RES/1794 paragraph(s) 16","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2q","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2f, 2g","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2i","","","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2i","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 3a","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 3e","","","Mandated in current resolution in S/RES/1794 paragraph(s) 12","","","","","","","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 3b","","","","","","","","Mandated in current resolution in S/RES/1794 paragraph(s) 19","","","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 3b, 12","","","","","","","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 11","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2a, 2b","","","","","","Mandated in previous resolution in S/RES/1756 paragraph(s) 2b","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1751","MONUC","Dem. Rep. of the Congo",2007,1,0,,"Mandated in previous resolution in S/RES/1906 paragraph(s) 24","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","Mandated in previous resolution in S/RES/1906 paragraph(s) 24","","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 37","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 7, 9, 20","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 31","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in previous resolution in S/RES/1341 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 18, 31","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 30","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 29, 30, 31, 32, 33, 35, 36","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 5","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","Mandated in previous resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 21c, 39","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4d","","","","","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 14","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5a","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3b","","Mandated in previous resolution in S/RES/1906 paragraph(s) 4c","","","","","","","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 19","Mandated in previous resolution in S/RES/1341 paragraph(s) 6","","","","","","","","","",""
"S/RES/1742","MONUC","Dem. Rep. of the Congo",2007,1,0,,"Mandated in previous resolution in S/RES/1906 paragraph(s) 24","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","Mandated in previous resolution in S/RES/1906 paragraph(s) 24","","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 37","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 7, 9, 20","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 31","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in previous resolution in S/RES/1341 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 18, 31","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 30","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 29, 30, 31, 32, 33, 35, 36","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 5","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","Mandated in previous resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 21c, 39","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4d","","","","","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 14","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5a","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3b","","Mandated in previous resolution in S/RES/1906 paragraph(s) 4c","","","","","","","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 19","Mandated in previous resolution in S/RES/1341 paragraph(s) 6","","","","","","","","","",""
"S/RES/1856","MONUC","Dem. Rep. of the Congo",2008,1,1,22dec2008,"Mandated in current resolution in S/RES/1856 paragraph(s) 3i","Mandated in current resolution in S/RES/1856 paragraph(s) 3g, 3h, 3i","","Mandated in current resolution in S/RES/1856 paragraph(s) 3i","","Mandated in current resolution in S/RES/1856 paragraph(s) 3g, 3i","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3o","","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 2, 3f, 6","","Mandated in current resolution in S/RES/1856 paragraph(s) 4c","Mandated in current resolution in S/RES/1856 paragraph(s) 3k, 4c","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in current resolution in S/RES/1856 paragraph(s) 3g, 3i, 3k, 4c","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3k, 13","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3k, 3l, 22","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3k, 3l, 4g, 22","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3m","","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4g, 22","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4g","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3m","Mandated in current resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4a, 4b","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4d","","","","","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 16","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3a, 3b","","","","","","Mandated in current resolution in S/RES/1856 paragraph(s) 3b","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1843","MONUC","Dem. Rep. of the Congo",2008,1,0,,"Mandated in previous resolution in S/RES/1906 paragraph(s) 24","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","Mandated in previous resolution in S/RES/1906 paragraph(s) 24","","Mandated in previous resolution in S/RES/1341 paragraph(s) 8","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 37","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 7, 9, 20","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 31","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in previous resolution in S/RES/1341 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 18, 31","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 30","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 29, 30, 31, 32, 33, 35, 36","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 5","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","Mandated in previous resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 21c, 39","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4d","","","","","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 14","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5a","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3b","","Mandated in previous resolution in S/RES/1906 paragraph(s) 4c","","","","","","","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 19","Mandated in previous resolution in S/RES/1341 paragraph(s) 6","","","","","","","","","",""
"S/RES/1797","MONUC","Dem. Rep. of the Congo",2008,1,0,,"Mandated in previous resolution in S/RES/1906 paragraph(s) 24","Mandated in previous resolution in S/RES/1417 paragraph(s) 9","","Mandated in previous resolution in S/RES/1906 paragraph(s) 24","","Mandated in previous resolution in S/RES/1417 paragraph(s) 9","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 37","","","","","","","","","Mandated in previous resolution in S/RES/1417 paragraph(s) 7","","Mandated in previous resolution in S/RES/1355 paragraph(s) 34","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 31","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in previous resolution in S/RES/1341 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 11, 18, 31","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 30","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5c, 29, 30, 31, 32, 33, 35, 36","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 5","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","Mandated in previous resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 21c, 39","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 39","","","","","","","Mandated in current resolution in S/RES/1797 paragraph(s) 1","","","","","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","Mandated in previous resolution in S/RES/1355 paragraph(s) 36","Mandated in previous resolution in S/RES/1906 paragraph(s) 14","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1906 paragraph(s) 5a","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3b","","Mandated in previous resolution in S/RES/1906 paragraph(s) 4c","","","","","","","","","Mandated in previous resolution in S/RES/1341 paragraph(s) 19","Mandated in previous resolution in S/RES/1341 paragraph(s) 6","","","","","","","","","",""
"S/RES/1906","MONUC","Dem. Rep. of the Congo",2009,1,0,23dec2009,"Mandated in current resolution in S/RES/1906 paragraph(s) 24","Mandated in current resolution in S/RES/1906 paragraph(s) 5b, 21a","","Mandated in current resolution in S/RES/1906 paragraph(s) 24","","Mandated in current resolution in S/RES/1906 paragraph(s) 5b, 24, 36","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 37","","","","","","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 7, 9, 20","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","Mandated in current resolution in S/RES/1906 paragraph(s) 11, 31","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3ci, 4c","Mandated in current resolution in S/RES/1906 paragraph(s) 11, 15, 31","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 11, 18, 31","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 5c, 30","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 5c, 29, 30, 31, 32, 33, 35, 36","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","","","","","","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 39","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4c","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 39","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3m","Mandated in previous resolution in S/RES/1856 paragraph(s) 3p","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3q","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3j","","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 21c, 39","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 39","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4d","","","","","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 14","","","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 4b","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1906 paragraph(s) 5a","","","","","","Mandated in previous resolution in S/RES/1856 paragraph(s) 3b","","Mandated in current resolution in S/RES/1906 paragraph(s) 4c","","","","","","","","","","","","","","","","","","","",""
"S/RES/1925","MONUSCO","Dem. Rep. of the Congo",2010,1,1,28may2010,"","Mandated in current resolution in S/RES/1925 paragraph(s) 12i,12j","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12i, 12j","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12t","","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 11, 12a","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12c","","Mandated in current resolution in S/RES/1925 paragraph(s) 12a","","Mandated in current resolution in S/RES/1925 paragraph(s) 12e","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12c","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 6(ii), 12l, 12m, 12n, 12o","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 6(ii), 12j, 12l, 12m","","","","","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12l, 12m, 12o","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12o","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12t","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12s","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 6(iii), 12p","","","","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12q","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 16","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12a","","","","","","Mandated in current resolution in S/RES/1925 paragraph(s) 12g","","Mandated in current resolution in S/RES/1925 paragraph(s) 12g","","","","","","","","","","","","","","","","","","","",""
"S/RES/1991","MONUSCO","Dem. Rep. of the Congo",2011,1,0,,"","Mandated in current resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in current resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in previous resolution in S/RES/2136 paragraph(s) 16","Mandated in previous resolution in S/RES/2348 paragraph(s) 23","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 43","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 28a, 32, 34i, 34i(a), 34(i)d","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i( c), 34ii(b)","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(b), 34i(f), 34i(g), 40","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","Mandated in current resolution in S/RES/1991 paragraph(s) 16","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(b), 35i(b)","","","","Mandated in current resolution in S/RES/1991 paragraph(s) 11","","","","Mandated in current resolution in S/RES/1991 paragraph(s) 11","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(f)","","Mandated in previous resolution in S/RES/2136 paragraph(s) 11","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","","","","","","","","Mandated in previous resolution in S/RES/2136 paragraph(s) 25","","","","","Mandated in current resolution in S/RES/1991 paragraph(s) 4c","","","","","","","Mandated in current resolution in S/RES/1991 paragraph(s) 7","Mandated in current resolution in S/RES/1991 paragraph(s) 5, 8","","","Mandated in current resolution in S/RES/1991 paragraph(s) 7","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i( c)","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","","","","","","","","","","","","","","","","","",""
"S/RES/2078","MONUSCO","Dem. Rep. of the Congo",2012,1,0,,"","Mandated in previous resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in previous resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in previous resolution in S/RES/2136 paragraph(s) 16","Mandated in previous resolution in S/RES/2348 paragraph(s) 23","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 43","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 1, 6","","Mandated in previous resolution in S/RES/2053 paragraph(s) 17","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(b), 34i(f), 34i(g), 40","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","Mandated in previous resolution in S/RES/2053 paragraph(s) 23","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 23","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 4b, 6, 8, 10","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 4b, 6, 8, 10","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(f)","","Mandated in current resolution in S/RES/2078 paragraph(s) 19","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","","","","","","","","Mandated in current resolution in S/RES/2078 paragraph(s) 18","","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 4c","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 16","","","Mandated in previous resolution in S/RES/1991 paragraph(s) 7","Mandated in previous resolution in S/RES/1991 paragraph(s) 5, 8","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 16","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i( c)","Mandated in previous resolution in S/RES/2053 paragraph(s) 24","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 21","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","Mandated in previous resolution in S/RES/2053 paragraph(s) 20","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","","","","","","","","","","","","","","","","","",""
"S/RES/2053","MONUSCO","Dem. Rep. of the Congo",2012,1,0,,"","Mandated in previous resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in previous resolution in S/RES/1991 paragraph(s) 15","","","","Mandated in previous resolution in S/RES/2136 paragraph(s) 16","Mandated in previous resolution in S/RES/2348 paragraph(s) 23","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 43","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 1, 6","","Mandated in current resolution in S/RES/2053 paragraph(s) 17","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(b), 34i(f), 34i(g), 40","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","Mandated in current resolution in S/RES/2053 paragraph(s) 23","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 23","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 4b, 6, 8, 10","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 4b, 6, 8, 10","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(f)","","Mandated in previous resolution in S/RES/2136 paragraph(s) 11","","Mandated in previous resolution in S/RES/2348 paragraph(s) 35ii(d)","","","","","","","","","","","Mandated in previous resolution in S/RES/2293 paragraph(s) 30","","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 4c","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 16","","","Mandated in previous resolution in S/RES/1991 paragraph(s) 7","Mandated in previous resolution in S/RES/1991 paragraph(s) 5, 8","","","Mandated in current resolution in S/RES/2053 paragraph(s) 16","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i( c)","Mandated in current resolution in S/RES/2053 paragraph(s) 24","","","","","","","","","","","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","","","","","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 21","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","","","","","","Mandated in current resolution in S/RES/2053 paragraph(s) 20","","Mandated in previous resolution in S/RES/2348 paragraph(s) 34i(a)","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","Mandated in previous resolution in S/RES/2348 paragraph(s) 37","","","","","","","","","","","","","","","","","",""
