Signature,NamePKO,Country,Year,date2,mandate_renewal,mandate_completeadjustment,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
S/RES/834,UNAVEM II,Angola,1993,01-Jun-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/834 paragraph(s) 1, 2",,,,"Mandated in current resolution in S/RES/834 paragraph(s) 1, 2",,,,,,
S/RES/966,UNAVEM II,Angola,1994,08-Dec-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/966 paragraph(s) 2,"Mandated in previous resolution in S/RES/966 paragraph(s) 1, 2",,,,"Mandated in previous resolution in S/RES/966 paragraph(s) 1, 2",,,,,,
S/RES/811,UNAVEM II,Angola,1993,12-Mar-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/811 paragraph(s) 10,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/811 paragraph(s) 2,"Mandated in previous resolution in S/RES/811 paragraph(s) 1, 2",,,,Mandated in current resolution in S/RES/811 paragraph(s) 3,,,,,,
S/RES/890,UNAVEM II,Angola,1993,15-Dec-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/890 paragraph(s) 10,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/890 paragraph(s) 2,"Mandated in previous resolution in S/RES/890 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/890 paragraph(s) 3,,,,,,
S/RES/851,UNAVEM II,Angola,1993,15-Jul-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/851 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/851 paragraph(s) 2,"Mandated in previous resolution in S/RES/851 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/851 paragraph(s) 3,,,,,,
S/RES/864,UNAVEM II,Angola,1993,15-Sep-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/864 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/864 paragraph(s) 2,"Mandated in previous resolution in S/RES/864 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/864 paragraph(s) 3,,,,,,
S/RES/903,UNAVEM II,Angola,1994,16-Mar-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/903 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/903 paragraph(s) 2,"Mandated in previous resolution in S/RES/903 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/903 paragraph(s) 3,,,,,,
S/RES/747,UNAVEM II,Angola,1992,24-Mar-92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/747 paragraph(s) 1, 4",Mandated in current resolution in S/RES/747 paragraph(s) 4,,,,,,,Mandated in current resolution in S/RES/747 paragraph(s) 4,,,,,,,,Mandated in current resolution in S/RES/747 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/747 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/747 paragraph(s) 2,"Mandated in previous resolution in S/RES/747 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/747 paragraph(s) 3,,,,,,
S/RES/952,UNAVEM II,Angola,1994,27-Oct-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/952 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/952 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/952 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/952 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/952 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/952 paragraph(s) 2,"Mandated in previous resolution in S/RES/952 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/952 paragraph(s) 3,,,,,,
S/RES/804,UNAVEM II,Angola,1992,29-Jan-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/804 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/804 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/804 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/804 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/804 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/804 paragraph(s) 2,"Mandated in previous resolution in S/RES/804 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/804 paragraph(s) 3,,,,,,
S/RES/945,UNAVEM II,Angola,1994,29-Sep-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/945 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/945 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/945 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/945 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/945 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/945 paragraph(s) 2,"Mandated in previous resolution in S/RES/945 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/945 paragraph(s) 3,,,,,,
S/RES/823,UNAVEM II,Angola,1993,30-Apr-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/823 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/823 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/823 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/823 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/823 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/823 paragraph(s) 2,"Mandated in previous resolution in S/RES/823 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/823 paragraph(s) 3,,,,,,
S/RES/932,UNAVEM II,Angola,1994,30-Jun-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/932 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/932 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/932 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/932 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/932 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/932 paragraph(s) 2,"Mandated in previous resolution in S/RES/932 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/932 paragraph(s) 3,,,,,,
S/RES/696,UNAVEM II,Angola,1991,30-May-91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/696 paragraph(s) 3, 8",Mandated in current resolution in S/RES/696 paragraph(s) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/696 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/696 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/696 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/696 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/696 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/696 paragraph(s) 2,"Mandated in previous resolution in S/RES/696 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/696 paragraph(s) 3,,,,,,
S/RES/793,UNAVEM II,Angola,1992,30-Nov-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/793 paragraph(s) 3, 8",Mandated in previous resolution in S/RES/793 paragraph(s) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/793 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/793 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/793 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/793 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/793 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/793 paragraph(s) 2,"Mandated in previous resolution in S/RES/793 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/793 paragraph(s) 3,,,,,,
S/RES/785,UNAVEM II,Angola,1992,30-Oct-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/785 paragraph(s) 3, 8",Mandated in previous resolution in S/RES/785 paragraph(s) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/785 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/785 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/785 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/785 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/785 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/785 paragraph(s) 2,"Mandated in previous resolution in S/RES/785 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/785 paragraph(s) 3,,,,,,
S/RES/922,UNAVEM II,Angola,1994,31-May-94,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/922 paragraph(s) 3, 8",Mandated in previous resolution in S/RES/922 paragraph(s) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/922 paragraph(s) 1, 4",Mandated in previous resolution in S/RES/922 paragraph(s) 4,,,,,,,Mandated in previous resolution in S/RES/922 paragraph(s) 4,,,,,,,,Mandated in previous resolution in S/RES/922 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/922 paragraph(s) 16,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/922 paragraph(s) 2,"Mandated in previous resolution in S/RES/922 paragraph(s) 1, 2",,,,Mandated in previous resolution in S/RES/922 paragraph(s) 3,,,,,,
S/RES/1008,UNAVEM III,Angola,1995,07-Aug-95,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1008 paragraph(s) 16,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1008 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1008 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/976,UNAVEM III,Angola,1995,08-Feb-95,0,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/976 paragraph(s) 16,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/976 paragraph(s) 4,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/976 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/976 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/976 paragraph(s) 2,,,,,,,,,,,
S/RES/1045,UNAVEM III,Angola,1996,08-Feb-96,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1045 paragraph(s) 16,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1045 paragraph(s) 7,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1045 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1045 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1045 paragraph(s) 2,,,,,,,,,,,
S/RES/1055,UNAVEM III,Angola,1996,08-May-96,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1055 paragraph(s) 16,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1055 paragraph(s) 14,Mandated in current resolution in S/RES/1055 paragraph(s) 6,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1055 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1055 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1055 paragraph(s) 2,,,,,,,,,,,
S/RES/1087,UNAVEM III,Angola,1996,11-Dec-96,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1087 paragraph(s) 16,,,,,,,,,,,Mandated in current resolution in S/RES/1087 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1087 paragraph(s) 14,Mandated in previous resolution in S/RES/1087 paragraph(s) 6,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1087 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1087 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1087 paragraph(s) 2,,,,,,,,,,,
S/RES/1064,UNAVEM III,Angola,1996,11-Jul-96,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 16,,,,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 14,"Mandated in current resolution in S/RES/1064 paragraph(s) 6, 9",,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1064 paragraph(s) 2,,,,,,,,,,,
S/RES/1075,UNAVEM III,Angola,1996,11-Oct-96,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 16,,,,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 14,"Mandated in previous resolution in S/RES/1075 paragraph(s) 6, 9",,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 5,,,,,,,,Mandated in current resolution in S/RES/1075 paragraph(s) 12f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1075 paragraph(s) 2,,,,,,,,,,,
S/RES/1106,UNAVEM III,Angola,1997,16-Apr-97,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 16,,,,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 14,"Mandated in previous resolution in S/RES/1106 paragraph(s) 6, 9",,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 5,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 12f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1106 paragraph(s) 2,,,,,,,,,,,
S/RES/1098,UNAVEM III,Angola,1997,27-Feb-97,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 16,,,,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 14,"Mandated in previous resolution in S/RES/1098 paragraph(s) 6, 9",,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 5,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 12f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1098 paragraph(s) 2,,,,,,,,,,,
S/RES/1102,UNAVEM III,Angola,1997,31-Mar-97,1,0,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 16,,,,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 8,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 14,"Mandated in previous resolution in S/RES/1102 paragraph(s) 6, 9",,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 5,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 12f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1102 paragraph(s) 2,,,,,,,,,,,
S/RES/990,UNCRO,Croatia,1995,28-Apr-95,0,0,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 19 b,"Mandated in current resolution in S/RES/990 paragraph(s) 20 e, f",,,,,,,,,,,"Mandated in current resolution in S/RES/990 paragraph(s) 15 f, 20 e",,,,,,,,"Mandated in current resolution in S/RES/990 paragraph(s) 12 b, 25, 28 a,b,c","Mandated in current resolution in S/RES/990 paragraph(s) 12 c, 28 d",,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 20 e,,,,,,,,,,,,"Mandated in current resolution in S/RES/990 paragraph(s) 21, 22",,,,"Mandated in current resolution in S/RES/990 paragraph(s) 15 e, 20 c",Mandated in current resolution in S/RES/990 paragraph(s) 15 e,,,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 16 a,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 20 i ?,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 19 d,,,,,,,,"Mandated in current resolution in S/RES/990 paragraph(s) 16 b, 17 e, 19 d, 20 h",,,,"Mandated in current resolution in S/RES/990 paragraph(s) 15 b; 16 b;  19 a; 20 a, b; 23; 24 a, b, d",,"Mandated in current resolution in S/RES/990 paragraph(s) 20 i, 24 c",,,,,,"Mandated in current resolution in S/RES/990 paragraph(s) 19 c; 20 c, g",,,,,,,,,,,Mandated in current resolution in S/RES/990 paragraph(s) 12 a,"Mandated in current resolution in S/RES/990 paragraph(s) 12 d, 15 h",,,,,,,,,,
S/RES/981,UNCRO,Croatia,1995,31-Mar-95,0,0,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/981 paragraph(s) 19 b,Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 c ( S/1995/222),,,,,,,,,,,"Mandated in previous resolution in S/RES/981 paragraph(s) 15 f, 20 e",,,,,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 ( S/1995/222),"Mandated in previous resolution in S/RES/981 paragraph(s) 12 c, 28 d",,,,,,,Mandated in previous resolution in S/RES/981 paragraph(s) 20 e,,,,,,,,,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 c ( S/1995/222),,,,"Mandated in previous resolution in S/RES/981 paragraph(s) 15 e, 20 c",Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 c ( S/1995/222),,,,,,,,Mandated in previous resolution in S/RES/981 paragraph(s) 16 a,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/981 paragraph(s) 20 i ?,,,,,,,,,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 c ( S/1995/222),,,,Mandated in previous resolution in S/RES/981 paragraph(s) 19 d,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c Referring to 72 c ( S/1995/222),,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 b,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c referring to 72 c ( S/1995/222),,"Mandated in previous resolution in S/RES/981 paragraph(s) 20 i, 24 c",,,,,,Mandated in current resolution in S/RES/981 paragraph(s) 3 c referring to 72 c ( S/1995/222),,,,,,,,,,,Mandated in previous resolution in S/RES/981 paragraph(s) 12 a,Mandated in current resolution in S/RES/981 paragraph(s) 3 a,,,,,,,,,,
S/RES/1145,UNCSPG,Croatia,1997,19-Dec-97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1145 paragraph(s) 13,Mandated in current resolution in S/RES/1145 paragraph(s) 38 (S/1997/953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1145 paragraph(s) 13,,,,,,,,,,,,,,,,,,,,,,,
S/RES/2024,UNISFA,Abyei,2011,14-Dec-11,1,0,,,,,,,,,"Mandated in current resolution in S/RES/2024 paragraph(s) 1b, 1c","Mandated in current resolution in S/RES/2024 paragraph(s) 1b, 1d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2024 paragraph(s) 1a,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2024 paragraph(s) 1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2024 paragraph(s) 1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
